item,zone,word,mean_RT,std_RT,n_observations,word_length,word_lower,word_freq,gpt3_surprisal,log_freq,freq_bin,lemma,lemma_length,lemma_freq,log_lemma_freq
1,1,If,578.9642857142857,276.06134495615595,84,2,if,6679393671.0,3.474217766,9.82473704079051,"(9.457, 10.331]",if,2,73473330381.0,10.866129725889625
1,2,you,369.01190476190476,160.57993498323424,84,3,you,49578181874.0,1.347070699671795,10.69529059632989,"(10.331, 10.963]",you,3,1338610910598.0,12.126654360480442
1,3,were,368.18390804597703,168.02716618227916,87,4,were,85095853740.0,1.5463180812983872,10.929908399787612,"(10.331, 10.963]",be,2,163261069828920.0,14.21288263804895
1,4,to,344.3181818181818,224.91666632790574,88,2,to,3126025745885.0,1.0622783505768925,12.494992550538631,"(12.314, 12.645]",to,2,778380410725365.0,14.89119189763423
1,5,journey,354.63953488372096,310.06564438900574,86,7,journey,61440759.0,4.4922841,7.788456579122493,"(7.37, 8.002]",journey,7,184322277.0,8.265577829129818
1,6,to,349.6741573033708,198.21285478454374,89,2,to,3126025745885.0,1.0622783505768925,12.494992550538631,"(12.314, 12.645]",to,2,778380410725365.0,14.89119189763423
1,7,the,376.3707865168539,334.0789367126521,89,3,the,21324013254348.0,1.2265957083593315,13.328868943797067,"(12.645, 13.329]",the,3,1.684597047093492e+16,16.226496035087486
1,8,North,327.3103448275862,181.58086867422014,87,5,north,72422964.0,4.6311445,7.859876300883914,"(7.37, 8.002]",north,5,72422964.0,7.859876300883914
1,9,of,365.4943820224719,336.9052714041409,89,2,of,4233687063681.0,0.5447372453052813,12.626718753650614,"(12.314, 12.645]",of,2,977981711710311.0,14.990330733542656
1,11,you,400.2696629213483,295.97207961243976,89,3,you,49578181874.0,1.347070699671795,10.69529059632989,"(10.331, 10.963]",you,3,1338610910598.0,12.126654360480442
1,12,would,372.59090909090907,212.70483765627537,88,5,would,27161902660.0,2.551899175,10.433960188518308,"(10.331, 10.963]",would,5,760533274480.0,11.881118219845108
1,13,come,350.37931034482756,159.2607370247243,87,4,come,2241943668.0,3.3280759469230765,9.350624696327731,"(8.683, 9.457]",come,4,48963240966.0,10.6898701568397
1,14,to,319.08045977011494,117.27598322609201,87,2,to,3126025745885.0,1.0622783505768925,12.494992550538631,"(12.314, 12.645]",to,2,778380410725365.0,14.89119189763423
1,15,a,355.9310344827586,318.75629653985044,87,1,a,2061044570367.0,1.5193215353977476,12.314087383557759,"(11.368, 12.314]",a,1,457551894621474.0,14.660440358008188
1,16,valley,343.8588235294118,213.12209517311996,85,6,valley,38729601.0,2.403416883333333,7.58804303403509,"(7.37, 8.002]",valley,6,116188803.0,8.065164281279085
1,17,that,330.7325581395349,180.9776992708741,86,4,that,881997224623.0,2.0623257543611113,11.945467218541822,"(11.368, 12.314]",that,4,152585519859779.0,14.183513321670127
1,18,is,346.77906976744185,367.9158599834475,86,2,is,222590526750.0,1.227762287,11.347506677216511,"(10.963, 11.368]",be,2,163261069828920.0,14.21288263804895
1,19,surrounded,360.28735632183907,326.44209244826175,87,10,surrounded,40219074.0,4.251832333333334,7.60443207802066,"(7.37, 8.002]",surround,8,120657222.0,8.081553325541508
1,20,by,337.04651162790697,151.94998457129736,86,2,by,133804726924.0,2.033390646714035,11.126471456041537,"(10.963, 11.368]",by,2,7225455253896.0,12.858865215861321
